Timestamp,18_plus,consent,sex_gender,kinsey_scale,HRT,dimorphism,sexual_behavior,ESFQ_1,ESFQ_2,ESFQ_3,ESFQ_4,ESFQ_5,ESFQ_6,ESFQ_7,ESFQ_8,ESFQ_9,ESFQ_10,ESFQ_11,ESFQ_12,ESFQ_13,ESFQ_14,ESFQ_15,ESFQ_16,ESFQ_17,ESFQ_18,ESFQ_19,ESFQ_20,ESFQ_21,AGP_1,AGP_2,AGP_3,AGP_4,AGP_5,AGP_6,AGP_7,testimony
12/11/2023 11:56:07,Yes,I agree,Gender fluid transmasculine,4,No,5,Non-Binary (Assigned Female at Birth),2,2,2,1,5,4,5,5,5,3,1,4,5,6,3,4,4,5,5,7,6,2,2,1,2,2,2,2,"My perception of myself heavily deviates from my actual appearance, and as such it can sometimes take down a mood to be reminded of my actual looks? Like, most of me doesn't bother me, but being reminded I've got breasts kind of knocks the eroticism out of me most of the time. Rest of it doesn't do much though, imagining myself as more feminine while I'm fantasizing doesn't do much for me."
12/11/2023 12:31:51,Yes,I agree,Cisgender Woman,2,No,6,None,1,1,1,1,1,3,1,1,1,2,1,1,2,3,5,4,3,6,1,3,4,1,2,2,2,2,3,2,
12/11/2023 14:48:44,Yes,I agree,Transgender Woman,1,No,1,None,4,7,2,2,2,6,7,7,6,6,7,2,4,7,7,7,2,4,2,3,7,5,5,5,2,4,3,5,
12/11/2023 16:08:27,Yes,I agree,Cisgender Man,3,No,2,"Cisgender Men, Cisgender Women",4,3,4,5,5,5,4,1,2,5,3,3,2,1,5,1,2,5,1,5,1,3,4,3,3,4,4,4,
12/11/2023 16:45:24,Yes,I agree,Transgender Man,4,Yes,4,"Cisgender Men, Cisgender Women, Transgender Women, Non-Binary (Assigned Male at Birth)",2,3,3,1,1,4,2,5,5,4,5,1,4,4,1,1,5,2,5,1,5,3,3,1,4,3,2,2,
12/11/2023 16:50:16,Yes,I agree,Cisgender Woman,1,No,6,"Cisgender Women, Non-Binary (Assigned Female at Birth)",3,3,4,5,5,4,6,4,5,4,2,3,5,6,1,2,2,3,1,5,5,5,4,4,4,5,2,5,
12/11/2023 17:02:14,Yes,I agree,Transgender Woman,1,Yes,6,Non-Binary (Assigned Female at Birth),6,5,7,5,5,6,5,7,5,5,4,3,7,7,7,5,4,7,7,7,7,5,5,5,5,5,4,4,"Feeling like a woman, that I'm being perceived as a woman, and generally being in concert with my body are integral to making me feel comfortable enough to have a truly good time"
12/11/2023 20:56:35,Yes,I agree,Transgender Woman,3,Yes,6,"Transgender Women, Non-Binary (Assigned Male at Birth)",2,1,3,1,2,1,3,5,6,4,1,1,5,7,4,7,4,7,1,1,7,5,5,5,5,5,5,5,"I like the feminine aspects of myself and find them attractive, but I don't find my masculine parts attractive."
12/11/2023 22:40:12,Yes,I agree,Non-Binary (Assigned Male at Birth),2,No,2,None,1,1,1,1,1,1,1,1,2,5,2,1,1,1,4,1,1,1,1,1,2,3,3,3,3,3,3,3,
12/12/2023 5:17:32,Yes,I agree,Non-Binary (Assigned Female at Birth),2,No,2,None,2,2,5,1,3,4,5,6,6,5,1,6,1,7,5,1,1,4,2,6,7,1,1,1,1,1,1,1,"I find the smell of my arousal during and after masturbation to be extremely erotic. Otherwise I tend to try and leave my body out of it as much as possible. I only masturbate fully dressed and if I’m lounging nude, it is nonsexual. I find myself more attractive with undergarments on than naked."
12/12/2023 5:24:35,Yes,I agree,Non-Binary (Assigned Male at Birth),3,No,3,None,4,5,6,4,3,2,1,2,5,7,5,1,1,3,5,5,3,2,1,7,5,5,5,5,5,5,4,5,
12/12/2023 5:31:39,Yes,I agree,Non-Binary (Assigned Female at Birth),,No,7,None,2,6,4,2,3,1,2,2,5,6,1,1,2,4,5,2,3,5,6,5,7,1,2,4,5,1,3,3,"If I think about the reality of my body too hard, it takes me out. I try to focus on touch and sensation as opposed to looks, how body parts feel to be touch and perceiving my body that way. I think my ideal sexual encounters would have me blindfolded. "
12/13/2023 21:04:39,Yes,I agree,Transgender Woman,2,No,3,Cisgender Men,1,1,1,2,1,1,1,1,1,2,1,1,1,1,3,1,1,3,1,1,2,1,1,1,1,1,3,1,
12/14/2023 7:44:09,Yes,I agree,Cisgender Woman,5,No,7,Cisgender Men,1,1,3,1,1,2,2,3,4,1,1,1,1,1,1,1,1,1,1,1,7,3,2,1,1,2,1,1,"I tend to exist despite my body, it's a vessel to be moved, to be used to arouse my partner, not myself at all."
12/18/2023 22:09:09,Yes,I agree,Non-Binary (Assigned Female at Birth),1,No,5,Cisgender Men,1,1,1,1,1,2,3,2,3,2,1,1,4,1,2,1,1,3,3,1,3,1,2,2,2,2,4,1,I feel that weight and gender dysphoria both play significant roles in my self concept- it’s almost impossible to see myself as a sexual being when I have such strong dislike and discomfort with my body in its current state
12/18/2023 22:37:09,Yes,I agree,Transgender Man,6,Yes,2,"Cisgender Men, Transgender Men",1,1,1,1,1,2,4,2,4,1,1,1,1,2,5,1,1,5,1,2,3,1,1,1,1,1,1,1,
12/19/2023 0:11:23,Yes,I agree,Non-Binary (Assigned Female at Birth),,No,7,None,4,6,1,1,5,1,1,1,1,7,1,5,5,5,1,1,1,1,7,6,4,1,2,1,2,2,1,3,it's what has the orgasms.   (you forgot to ask if liked to imagine having a male or androgynous body) 
12/19/2023 5:42:50,Yes,I agree,Cisgender Man,0,No,2,"Cisgender Women, Transgender Women",6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,6,1,1,1,1,1,1,1,N/A
12/19/2023 11:56:24,Yes,I agree,Cisgender Man,6,No,2,Cisgender Women,2,2,2,1,1,1,1,1,1,3,2,1,1,3,2,5,3,5,2,3,2,1,1,1,1,1,1,1,I have always had an feeling of inferiority in regard to how desirable I am as a sex partner. As a result I have fantasies of my wives taking other partners and me watching them have sex with superior men.
12/19/2023 18:42:34,Yes,I agree,Cisgender Man,1,No,2,Cisgender Women,2,2,4,2,2,4,1,2,1,3,1,2,3,2,4,3,1,3,1,3,6,3,3,2,2,2,1,1,
12/20/2023 19:30:32,Yes,I agree,demigirl :3,2,No,3,None,3,5,5,2,2,6,2,5,6,4,2,1,5,5,2,2,6,2,3,7,7,5,5,5,4,5,5,5,i dont want to have dysphoria anymore ;-;
12/21/2023 10:40:56,Yes,I agree,Transgender Man,5,No,3,None,6,6,3,2,2,1,2,1,7,7,5,2,4,6,1,2,4,3,3,1,6,1,2,1,1,1,1,1,
12/26/2023 8:17:21,Yes,I agree,Transgender Man,3,Yes,3,Non-Binary (Assigned Female at Birth),1,1,2,2,1,1,1,3,1,4,1,1,6,2,4,2,2,5,4,1,5,3,2,1,1,1,1,1,"Partnered sex feels better when I feel present and secure in my body. In order to feel present and secure, I need to feel like my body reflects my gender, and like I'm a sexual and desirable person. So to facilitate that, I devote some focus to the aspects of my body that feel gender-affirming, and to the signs of my own arousal. I need enough sense of my own hotness to feel confident that I'm hot to my partner, and to overcome a lingering sense of fear/shame from past trauma. However my body and self are never the primary focus of my sexual awareness, and I am never hot to myself in the way that other people can be hot to me. 

In my private sexual fantasies, I as my actual self am rarely even a character. I'm usually inhabiting a character, and that character could have any gender and could be cis or trans. In sexual fantasy and in my mind in general, I spend a lot of time imagining and exploring experiences other than my own. The point of partnered sex for me is to bond with my partner who I'm in love with.... the point of masturbation and erotic fantasy is to get outside the confines of my own life and to explore a fuller range of human sexual experiences. So that's why I answered affirmatively to at least one of the ""do you find it hot to imagine yourself as a sexy woman"" questions. It's not that I want to be or to see myself as a hot woman, or that I inherently find it hot to imagine myself as a woman... it's about experiencing distinctive dynamics and scenarios that I can't (and wouldn't want to) have in my own body and life."
12/27/2023 10:21:36,Yes,I agree,Cisgender Man,0,No,1,Cisgender Women,7,7,7,3,3,2,2,1,6,7,7,1,7,6,7,6,4,5,2,2,4,2,3,4,3,4,4,2,"This is an interesting line of questioning, I suspect it will lead to some novel insights. As for a direct answer my own physical body has not turned me on, as far as imagining being teh opposite gender I have had PIV sex  on my back with my partner on top of me on her back, when I was rubbing her clitoris and fondling her breasts I did imagine that I was doing those things to myself… perhaps that experience will be helpful for your research."
12/29/2023 12:59:05,Yes,I agree,Cisgender Woman,5,No,6,"Cisgender Men, Cisgender Women",4,4,5,4,2,5,5,6,5,6,2,1,6,5,7,7,5,7,2,6,6,5,5,5,5,5,5,5,"I like to touch myself the way I like my husband to touch me, and I like to know that my husband enjoys looking at every part of my naked body and is aroused by it. I'm aroused by how much I can arouse him "
1/4/2024 3:41:01,Yes,I agree,Cisgender Man,0,No,1,Cisgender Women,4,4,3,2,2,2,1,1,1,4,2,1,1,1,2,3,1,4,2,5,5,5,2,1,1,1,3,1,
1/29/2024 21:46:30,Yes,I agree,Non-Binary (Assigned Female at Birth),6,No,5,"Cisgender Men, Transgender Women, Non-Binary (Assigned Male at Birth)",1,1,1,1,1,1,1,1,3,3,3,1,1,1,2,3,1,4,1,2,1,1,1,1,1,1,2,1,
1/30/2024 21:39:58,Yes,I agree,Cisgender Woman,4,No,6,"Cisgender Men, Cisgender Women, Non-Binary (Assigned Male at Birth)",4,4,4,4,5,1,4,3,5,6,6,3,5,4,2,4,3,6,2,4,6,5,5,5,5,5,5,5,
1/31/2024 19:44:27,Yes,I agree,Cisgender Man,0,No,2,None,1,4,4,5,5,5,5,5,7,2,1,1,6,5,3,5,5,3,3,6,5,5,5,5,5,5,5,5,I think perception of identity is very important. You have to feel a certain way.
2/28/2024 17:07:06,Yes,I agree,Cisgender Woman,3,No,6,"Cisgender Men, Cisgender Women",1,3,4,2,3,6,3,5,4,4,4,5,5,4,4,6,2,5,2,4,4,4,3,3,3,2,4,5,
3/2/2024 0:30:35,Yes,I agree,Transgender Man,3,No,5,Cisgender Women,1,1,2,1,1,3,2,3,2,2,2,1,3,2,3,5,1,6,2,4,6,1,1,2,1,2,1,3,
3/13/2024 2:57:02,Yes,I agree,Non-Binary (Assigned Female at Birth),3,No,6,None,2,4,5,2,1,5,1,5,4,2,1,2,2,2,2,5,5,3,2,1,5,2,3,3,5,2,3,1,
4/8/2024 7:48:01,Yes,I agree,Transgender Woman,1,Yes,3,"Cisgender Men, Cisgender Women, Transgender Women",1,1,1,1,1,1,1,3,1,3,1,2,1,5,1,1,2,1,1,1,6,2,2,3,3,2,1,3,It gets in the way. 
